#       Temperature (J)   Magnetization
         0.01000000        0.99162215 
         0.06000000        0.95483038 
         0.11000000        0.92026908 
         0.16000000        0.88392499 
         0.21000000        0.83767839 
         0.26000000        0.80447273 
         0.31000000        0.75743914 
         0.36000000        0.71563720 
         0.41000000        0.66379796 
         0.46000000        0.60234222 
         0.51000000        0.55313209 
         0.56000000        0.47708797 
         0.61000000        0.34753675 
         0.66000000        0.21652653 
         0.71000000        0.12810921 
         0.76000000        0.09693399 
         0.81000000        0.07360353 
         0.86000000        0.06022234 
         0.91000000        0.05290496 
         0.96000000        0.04736220 
         1.01000000        0.04230193 
         1.06000000        0.03953494 
         1.11000000        0.03636440 
         1.16000000        0.03424181 
         1.21000000        0.03237245 
         1.26000000        0.03086418 
         1.31000000        0.02957311 
         1.36000000        0.02842018 
         1.41000000        0.02759275 
         1.46000000        0.02657334 
         1.51000000        0.02610488 
         1.56000000        0.02525342 
         1.61000000        0.02479467 
         1.66000000        0.02425726 
         1.71000000        0.02366309 
         1.76000000        0.02337222 
         1.81000000        0.02274532 
         1.86000000        0.02252159 
         1.91000000        0.02217737 
         1.96000000        0.02185710 
         2.01000000        0.02166938 
